iter	Passed	Remaining
0	166	166768
1	168	84301
2	171	56890
3	173	43227
4	175	34955
5	177	29427
6	180	25587
7	182	22645
8	184	20297
9	185	18400
10	187	16852
11	189	15580
12	190	14470
13	191	13517
14	193	12718
15	195	12036
16	196	11383
17	198	10816
18	199	10309
19	201	9871
20	203	9474
21	204	9090
22	205	8739
23	207	8450
24	210	8214
25	211	7937
26	213	7684
27	214	7450
28	216	7252
29	217	7046
30	219	6852
31	220	6670
32	221	6499
33	223	6357
34	224	6202
35	226	6054
36	227	5918
37	228	5791
38	230	5685
39	232	5570
40	233	5468
41	234	5357
42	236	5268
43	238	5184
44	240	5094
45	241	5001
46	242	4922
47	244	4858
48	246	4793
49	248	4722
50	250	4654
51	251	4593
52	253	4531
53	255	4471
54	256	4412
55	258	4360
56	260	4308
57	262	4256
58	263	4201
59	264	4150
60	266	4107
61	268	4062
62	270	4017
63	271	3972
64	273	3929
65	275	3893
66	276	3851
67	277	3809
68	279	3767
69	280	3732
70	282	3702
71	284	3663
72	285	3630
73	287	3594
74	289	3567
75	291	3539
76	292	3508
77	294	3480
78	296	3451
79	297	3424
80	299	3394
81	300	3365
82	301	3328
83	302	3302
84	304	3282
85	306	3258
86	307	3231
87	309	3206
88	311	3185
89	312	3163
90	314	3138
91	315	3114
92	317	3091
93	318	3074
94	320	3056
95	322	3034
96	323	3013
97	325	2995
98	327	2984
99	329	2965
100	330	2945
101	332	2930
102	335	2918
103	336	2900
104	338	2882
105	339	2863
106	341	2853
107	343	2836
108	344	2817
109	346	2801
110	348	2787
111	349	2772
112	351	2756
113	352	2740
114	354	2729
115	356	2716
116	357	2699
117	359	2683
118	360	2670
119	362	2660
120	364	2649
121	366	2634
122	367	2622
123	369	2610
124	371	2601
125	373	2591
126	374	2577
127	376	2565
128	378	2557
129	380	2544
130	381	2531
131	383	2519
132	384	2506
133	386	2498
134	388	2487
135	389	2475
136	391	2465
137	393	2457
138	395	2446
139	396	2435
140	397	2424
141	398	2410
142	401	2404
143	402	2395
144	404	2385
145	405	2374
146	407	2366
147	409	2359
148	411	2349
149	412	2338
150	414	2329
151	416	2322
152	418	2314
153	419	2304
154	420	2294
155	422	2286
156	424	2279
157	426	2270
158	427	2260
159	428	2251
160	430	2241
161	432	2236
162	433	2227
163	435	2218
164	436	2211
165	438	2204
166	440	2196
167	442	2189
168	443	2183
169	446	2178
170	448	2172
171	449	2165
172	451	2157
173	453	2154
174	455	2147
175	457	2140
176	458	2133
177	461	2130
178	463	2125
179	465	2120
180	467	2116
181	469	2111
182	471	2106
183	474	2102
184	476	2098
185	478	2092
186	479	2086
187	481	2081
188	484	2077
189	486	2072
190	487	2066
191	490	2062
192	492	2057
193	493	2051
194	495	2045
195	497	2040
196	499	2037
197	501	2032
198	503	2026
199	505	2023
200	508	2022
201	510	2016
202	512	2011
203	515	2011
204	517	2006
205	519	2003
206	522	2003
207	525	1999
208	527	1994
209	530	1994
210	532	1990
211	534	1985
212	537	1986
213	539	1981
214	541	1976
215	544	1977
216	546	1972
217	548	1967
218	550	1963
219	553	1962
220	555	1956
221	556	1951
222	559	1950
223	562	1947
224	563	1942
225	566	1939
226	568	1935
227	570	1930
228	571	1925
229	575	1925
230	576	1920
231	578	1915
232	581	1913
233	583	1909
234	585	1904
235	587	1900
236	590	1900
237	591	1895
238	593	1889
239	596	1889
240	598	1885
241	600	1880
242	602	1875
243	604	1874
244	606	1869
245	607	1863
246	609	1858
247	612	1856
248	613	1850
249	614	1844
250	616	1839
251	619	1838
252	620	1832
253	622	1827
254	623	1821
255	625	1817
256	627	1813
257	628	1807
258	629	1801
259	631	1796
260	633	1794
261	635	1790
262	637	1785
263	638	1781
264	640	1777
265	642	1772
266	643	1767
267	645	1761
268	646	1757
269	649	1754
270	650	1750
271	652	1745
272	653	1740
273	655	1736
274	657	1732
275	658	1727
276	660	1723
277	662	1719
278	664	1716
279	665	1711
280	667	1706
281	668	1701
282	670	1697
283	672	1694
284	673	1689
285	675	1685
286	676	1680
287	678	1678
288	680	1673
289	681	1668
290	682	1663
291	684	1659
292	686	1657
293	688	1652
294	689	1648
295	691	1644
296	693	1641
297	695	1637
298	696	1633
299	697	1628
300	699	1624
301	701	1621
302	702	1617
303	704	1613
304	706	1608
305	707	1605
306	710	1602
307	711	1598
308	712	1593
